method,training_reactions,run,mae_kcal_mol
Direct,80,1,2.6267
Direct,80,2,2.5517
Direct,80,3,2.5032
Direct,80,4,2.5517
Direct,80,5,2.6381
Direct,80,6,2.6676
Direct,80,7,2.4874
Direct,80,8,2.5842
Direct,160,1,1.7678
Direct,160,2,1.9013
Direct,160,3,1.9148
Direct,160,4,1.9492
Direct,160,5,1.8253
Direct,160,6,1.8564
Direct,160,7,1.9597
Direct,160,8,1.8343
Direct,320,1,1.5224
Direct,320,2,1.4176
Direct,320,3,1.4253
Direct,320,4,1.4872
Direct,320,5,1.4417
Direct,320,6,1.5297
Direct,320,7,1.4163
Direct,320,8,1.4413
Direct,640,1,1.0992
Direct,640,2,1.1094
Direct,640,3,1.0428
Direct,640,4,1.0381
Direct,640,5,0.9749
Direct,640,6,1.0661
Direct,640,7,1.2169
Direct,640,8,1.0423
Direct,1280,1,0.8401
Direct,1280,2,0.8837
Direct,1280,3,0.7868
Direct,1280,4,0.7116
Direct,1280,5,0.9251
Direct,1280,6,0.9198
Direct,1280,7,0.835
Direct,1280,8,0.8003
Adapted,80,1,1.7698
Adapted,80,2,1.7524
Adapted,80,3,1.8744
Adapted,80,4,1.8316
Adapted,80,5,1.7472
Adapted,80,6,1.8189
Adapted,80,7,1.7552
Adapted,80,8,1.7944
Adapted,160,1,1.3504
Adapted,160,2,1.3421
Adapted,160,3,1.4067
Adapted,160,4,1.4178
Adapted,160,5,1.3487
Adapted,160,6,1.3455
Adapted,160,7,1.3271
Adapted,160,8,1.2583
Adapted,320,1,1.0572
Adapted,320,2,0.9686
Adapted,320,3,1.0385
Adapted,320,4,0.9557
Adapted,320,5,1.0267
Adapted,320,6,0.9861
Adapted,320,7,1.007
Adapted,320,8,0.9498
Adapted,640,1,0.806
Adapted,640,2,0.8567
Adapted,640,3,0.644
Adapted,640,4,0.7862
Adapted,640,5,0.8112
Adapted,640,6,0.6242
Adapted,640,7,0.8674
Adapted,640,8,0.7508
Adapted,1280,1,0.6304
Adapted,1280,2,0.7319
Adapted,1280,3,0.5352
Adapted,1280,4,0.6711
Adapted,1280,5,0.5437
Adapted,1280,6,0.6459
Adapted,1280,7,0.619
Adapted,1280,8,0.5472
Calibrated,80,1,1.3037
Calibrated,80,2,1.3225
Calibrated,80,3,1.1728
Calibrated,80,4,1.3442
Calibrated,80,5,1.3689
Calibrated,80,6,1.2595
Calibrated,80,7,1.3038
Calibrated,80,8,1.2354
Calibrated,160,1,1.0129
Calibrated,160,2,0.905
Calibrated,160,3,0.9124
Calibrated,160,4,0.7611
Calibrated,160,5,0.8353
Calibrated,160,6,0.7857
Calibrated,160,7,1.0271
Calibrated,160,8,0.9945
Calibrated,320,1,0.5329
Calibrated,320,2,0.5871
Calibrated,320,3,0.708
Calibrated,320,4,0.6714
Calibrated,320,5,0.6615
Calibrated,320,6,0.5708
Calibrated,320,7,0.7715
Calibrated,320,8,0.6437
Calibrated,640,1,0.5247
Calibrated,640,2,0.5631
Calibrated,640,3,0.6343
Calibrated,640,4,0.4481
Calibrated,640,5,0.4987
Calibrated,640,6,0.596
Calibrated,640,7,0.5252
Calibrated,640,8,0.5127
Calibrated,1280,1,0.4484
Calibrated,1280,2,0.3995
Calibrated,1280,3,0.3293
Calibrated,1280,4,0.4445
Calibrated,1280,5,0.3975
Calibrated,1280,6,0.326
Calibrated,1280,7,0.3796
Calibrated,1280,8,0.4414
