method,training_reactions,independent_runs,mean_mae_kcal_mol,sample_sd_kcal_mol,lower_mean_minus_sd,upper_mean_plus_sd,min_mae_kcal_mol,max_mae_kcal_mol
Direct,80,8,2.5763249999999998,0.06460278078933052,2.5117222192106694,2.64092778078933,2.4874,2.6676
Direct,160,8,1.8761,0.06645101310632626,1.8096489868936738,1.9425510131063264,1.7678,1.9597
Direct,320,8,1.4601875,0.04642586832790532,1.4137616316720947,1.5066133683279053,1.4163,1.5297
Direct,640,8,1.0737125,0.07117213414371829,1.0025403658562817,1.1448846341437184,0.9749,1.2169
Direct,1280,8,0.8378,0.07210995572239462,0.7656900442776053,0.9099099557223946,0.7116,0.9251
Adapted,80,8,1.7929875,0.045515725304558184,1.7474717746954418,1.8385032253045581,1.7472,1.8744
Adapted,160,8,1.349575,0.049030741085859315,1.3005442589141407,1.3986057410858592,1.2583,1.4178
Adapted,320,8,0.9986999999999999,0.03993594871791577,0.9587640512820842,1.0386359487179158,0.9498,1.0572
Adapted,640,8,0.7683125,0.09082088239260522,0.6774916176073947,0.8591333823926052,0.6242,0.8674
Adapted,1280,8,0.61555,0.06976177831940435,0.5457882216805957,0.6853117783194044,0.5352,0.7319
Calibrated,80,8,1.28885,0.06350916694237363,1.2253408330576265,1.3523591669423736,1.1728,1.3689
Calibrated,160,8,0.90425,0.10310128168802889,0.8011487183119711,1.0073512816880288,0.7611,1.0271
Calibrated,320,8,0.6433625000000001,0.07777729998436009,0.5655852000156399,0.7211397999843602,0.5329,0.7715
Calibrated,640,8,0.53785,0.05840112523377806,0.479448874766222,0.5962511252337781,0.4481,0.6343
Calibrated,1280,8,0.395775,0.048976838549315484,0.3467981614506845,0.4447518385493155,0.326,0.4484
